"t","W","Q","kg","Qs.obs","h","Fr","U","Ustar","UUstar","tau","shields","k","hk","kh","Re","sumks","ks","Qs.pred"
150,0.08,4e-04,3.6,1.5,0.0146483079236189,0.849605968366868,0.32206667425822,0.0536096820976774,6.00762141568776,2.87399801461403,0.0554860148621929,0.00124728562322081,11.7441487746754,0.0851487850832032,51.1603563472618,0.00028144620241679,0.000631959677554702,0.0128203930425661
180,0.08,4e-04,2.8,1.16666666666667,0.0155416283516305,0.827681539429743,0.323181157610701,0.055220172786672,5.85259229193692,3.04926748258991,0.0588698043622368,0.00175705279625226,8.84528250077648,0.113054614130438,74.2347046705089,0.000333555305826658,0.000972002818810659,0.0180752164099062
210,0.08,4e-04,2.8,1.16666666666667,0.014348519331652,0.938523385823595,0.352113880886912,0.0530582650759533,6.63636250418023,2.81517949287012,0.0543504520138333,0.00215080238381318,6.67124020302292,0.149897165979254,87.3128102573464,0.000312478602287041,0.00208637894137419,0.0112588468866079
240,0.08,4e-04,4.2,1.75,0.0149116758206134,0.811870412638025,0.310516330278727,0.0540894702877034,5.74079074221068,2.92567079600434,0.0564836205326264,0.00304452411091094,4.89786754099697,0.204170486774015,125.995942186162,0.000355165113472732,0.00232952524410726,0.0143413158613433
300,0.08,4e-04,4.6,0.958333333333333,0.0129977345040977,1.051470045689,0.375461351883268,0.0504990644438486,7.43501599521224,2.55015550970398,0.049233842818552,0.00220395816671329,5.89745064148878,0.169564793466004,85.1551840033672,0.000271966593162107,0.000780346834759005,0.00624809470763155
360,0.08,4e-04,7.8,1.625,0.0138031070571324,0.919125427194419,0.338218775382126,0.0520400769081809,6.49919822330156,2.70816960460938,0.0522844964285319,0.00309330296282606,4.46225514377739,0.224101932269493,123.164287747339,0.00039058491948839,0.00251447873088637,0.00896611863310004
420,0.08,4e-04,4.4,0.916666666666667,0.0141214122841427,0.928128814547914,0.345447318589305,0.0526366895819713,6.56286178581461,2.7706210901488,0.0534901980459951,0.00250227454459341,5.64343041999705,0.17719718780559,100.773870277454,0.000335171873063326,0.00168181375929814,0.0103547670230259
480,0.08,4e-04,4,0.833333333333333,0.0139099491069905,0.975908884544971,0.360501059952792,0.0522410950764965,6.90071790081948,2.72913201479154,0.0526892011628429,0.00294319167811135,4.726144481326,0.211588960928134,117.640058366158,0.000368713522699165,0.0019244847002866,0.00945263369628623
600,0.08,4e-04,13,1.35416666666667,0.0137713139509305,0.883731231915085,0.32481972695508,0.0519801096302477,6.24892346833498,2.70193179717257,0.0521640679959489,0.00297251542914926,4.63288224373385,0.21584835257847,118.218575275273,0.000374987276538657,0.00298965748059134,0.00889578419470177
720,0.08,4e-04,11.8,1.22916666666667,0.0149359711745595,0.854344881474977,0.327027638977982,0.0541335159069552,6.04113059162974,2.93043754444857,0.0565756483884829,0.00186156022063286,8.02336180641089,0.124636034635877,77.1023717026655,0.000320959368358033,0.000827172638958456,0.0144804176349033
840,0.08,4e-04,11.8,1.22916666666667,0.0160235220849774,0.763673837284605,0.30277597246572,0.0560697336632926,5.39998948958696,3.14381503307257,0.0606951594127931,0.00130875069712424,12.2433723398859,0.0816768429677045,56.1448378113273,0.000354226322044385,0.000805868112749022,0.0217178301869488
960,0.08,4e-04,10.2,1.0625,0.013581317380525,0.856351744573861,0.312577446960376,0.0516202912628261,6.05532125669108,2.664654470059,0.0514443840171401,0.0032215086451024,4.21582521629189,0.237201484571879,127.234288114689,0.000363425223051024,0.00244042462212573,0.00817526304661728
