"t","W","area","Q","Qs.obs","h","Fr","U","Ustar","UUstar","tau","shields","k","hk","kh","Re","sumks","ks","Qs.pred"
5,0.3,3.25,0.00067,0.0369230769230769,0.00866483574514965,0.909746626780561,0.265237621566181,0.0412315507008694,6.43288008958122,1.70004077319836,0.0328213475195063,0.00223275205459724,3.88078726758251,0.257679674522056,70.4359828168297,0.000382650398885699,0.00170700259515222,0.00168830474733449
10,0.3,3.25,0.00067,0.0123076923076923,0.00936636426138732,0.806437051707865,0.244450257292923,0.0428681778022369,5.70237107862718,1.83768066808419,0.035478652505255,0.00261549048469533,3.58111196205647,0.279242875005155,85.7852418806259,0.000380771168890459,0.00223142333829072,0.00279605294762597
15,0.3,3.25,0.00067,0.0123076923076923,0.00892539042690866,0.881148256923725,0.26073366028785,0.0418468828201036,6.23065907701472,1.75116160175948,0.0338082970716237,0.0024682922993557,3.61601842263108,0.276547263626047,79.0285681843168,0.000359479031520707,0.00177144749411684,0.00204563079308165
20,0.3,3.25,0.00067,0.0123076923076923,0.00948903216754749,0.758986612605662,0.231568551346942,0.0431479792258319,5.36684580603271,1.86174811127282,0.0359433036649526,0.00270068957899363,3.51355899669277,0.284611700256428,89.1578407420336,0.00040746503356237,0.00162233675395816,0.00303347503222398
30,0.3,3.25,0.00067,0.0123076923076923,0.00954515439928123,0.790502630780144,0.241896342695751,0.0432753890004351,5.58969770770446,1.87275929313898,0.0361558878760653,0.00281312093841208,3.39308355675215,0.29471717488655,93.1437665761682,0.000402688116305354,0.00182280104193928,0.00315547538388594
40,0.3,3.25,0.00067,0.00615384615384615,0.00977132124307662,0.763681665134021,0.236441395192404,0.0437850799689989,5.40004484084101,1.91713322789163,0.0370125804661993,0.00280941787416487,3.47805904309669,0.287516683187083,94.1167454373711,0.000434621208566745,0.00275907094763866,0.00367720725704963
50,0.3,3.25,0.00067,0.00615384615384615,0.0108198780791524,0.659954904421588,0.215010638000751,0.0460745057393966,4.66658588193825,2.12286007912969,0.0409843866634559,0.00343063761257351,3.1538971179867,0.317068047114471,120.937209158614,0.000429645788968333,0.00239313753670804,0.00697945318260873
60,0.3,3.25,0.00067,0.00615384615384615,0.0102276644007773,0.705776576560596,0.22355787821278,0.0447958452920861,4.99059403288624,2.00666775543251,0.0387411530332475,0.00354374007933379,2.88612149080079,0.346485760626292,121.457408071309,0.000395192316279546,0.00202209594905738,0.00488415248725521
75,0.3,3.25,0.00067,0.00820512820512821,0.0104068603897048,0.697686117796479,0.222922779609509,0.0451865688945298,4.93338585033607,2.04182600846009,0.0394199257185789,0.00421173679363321,2.47091898179313,0.404707725088707,145.611273749911,0.000457236903184139,0.00268008483087085,0.00547294032103847
90,0.3,3.25,0.00067,0.0164102564102564,0.00965611986802509,0.784488962259689,0.241447473493256,0.0435262072561638,5.54717464979823,1.89453071810652,0.0365762116213072,0.00400321825037288,2.41208929019188,0.414578350837274,133.316684971222,0.000447382133158847,0.00235615975082754,0.00338556359187988
