"t","W","Q","kg","Qs.obs","h","Fr","U","Ustar","UUstar","tau","shields","k","hk","kh","Re","sumks","ks","Qs.pred"
NA,NA,NA,NA,NA,0.047,0.795262175988199,0.54,0.193729445361308,2.7873924843634,NA,NA,0.016621618693628,2.82764277452819,0.353651461566554,2463.73142350704,0.00889679504642553,0.019689037474461,NA
NA,NA,NA,NA,NA,0.052,0.882072685784086,0.63,0.204273874981604,3.08409482150733,NA,NA,0.0174050094221778,2.9876456104494,0.334711719657265,2720.26680853832,0.010690092070274,0.0182537776252835,NA
NA,NA,NA,NA,NA,0.061,0.840260475378228,0.65,0.220433418519062,2.94873619602189,NA,NA,0.0186211550494926,3.27584405144955,0.305264836876927,3140.56990385091,0.0134603238905715,0.021946422532296,NA
NA,NA,NA,NA,NA,0.082,0.847368201198321,0.76,0.256674887747126,2.96094412145509,NA,NA,0.0179711164906611,4.56287732832917,0.219159957203184,3529.25348732285,0.0138530650186648,0.0233548020124257,NA
NA,NA,NA,NA,NA,0.035,0.921563433088448,0.54,0.167998124989537,3.21432158861078,NA,NA,0.0239503154538564,1.46135862249632,0.684294727253041,3078.50657165708,0.0231812115250259,0.02748248524243,NA
NA,NA,NA,NA,NA,0.05,0.928098029902592,0.65,0.199325111313151,3.26100407378583,NA,NA,0.0209485228159872,2.38680313830251,0.418970456319744,3194.77172313904,0.0116101723844747,0.030618776820564,NA
NA,NA,NA,NA,NA,0.049,0.951943980138458,0.66,0.195854696139766,3.36984516076659,NA,NA,0.0171324591960721,2.86006809876039,0.349642024409635,2567.30879110455,0.0086066326808799,0.012235971296135,NA
NA,NA,NA,NA,NA,0.043,0.677460448036607,0.44,0.215017599279687,2.04634412008137,NA,NA,0.0345836397911645,1.24336247600479,0.80427069281778,5689.43473775796,0.0114462308809217,0.0228140022603773,NA
NA,NA,NA,NA,NA,0.05,0.728199992692803,0.51,0.231753640748101,2.20061267798736,NA,NA,0.0349911286291076,1.42893361714567,0.699822572582152,6204.53056899832,0.0101445394454849,0.0194315433657647,NA
NA,NA,NA,NA,NA,0.057,0.762259637755851,0.57,0.246766312530702,2.30987769016925,NA,NA,0.0340535267644534,1.67383544131174,0.597430294113217,6429.42863682457,0.01191576591682,0.0171891888443,NA
NA,NA,NA,NA,NA,0.063,0.801374965208164,0.63,0.260972998603304,2.41404284493677,NA,NA,0.038094499385849,1.65378206868897,0.604674593426175,7606.45427315741,0.014491894344505,0.024782181537166,NA
NA,NA,NA,NA,NA,0.073,0.744465567216945,0.63,0.280028989570723,2.24976707220839,NA,NA,0.0365570791921965,1.99687725641885,0.500781906742418,7832.47279865929,0.0181955285965271,0.034445612155138,NA
NA,NA,NA,NA,NA,0.075,0.851055190418914,0.73,0.27754823905044,2.63017341597089,NA,NA,0.0283460623576759,2.64587014074957,0.377947498102346,6019.43358178034,0.0178504071019235,0.0338705297002827,NA
NA,NA,NA,NA,NA,0.036,0.858191921488459,0.51,0.191923390966292,2.65731028110885,NA,NA,0.0223147038648126,1.6132860296106,0.619852885133685,3276.7510590233,0.00919825518152616,0.0196843427041482,NA
NA,NA,NA,NA,NA,0.045,0.857894917872889,0.57,0.21467971492435,2.655118114913,NA,NA,0.022402546265032,2.00870023735829,0.497834361445157,3679.70332498595,0.0104447908356894,0.029476907560669,NA
NA,NA,NA,NA,NA,0.05,0.928098029902592,0.65,0.226617188227195,2.86827316623637,NA,NA,0.0279165417463689,1.7910527906453,0.558330834927378,4840.37352378671,0.0139064900148592,0.0368031122596637,NA
NA,NA,NA,NA,NA,0.061,0.840260475378228,0.65,0.169833335950278,3.82728158970098,NA,NA,0.0132215679131073,4.61367368839268,0.216747014968972,1718.02829776294,0.00748883348276305,0.0116710999997608,NA
NA,NA,NA,NA,NA,0.099,0.872662573067582,0.86,0.213876246927984,4.02101688407492,NA,NA,0.0220877703944404,4.48211830492945,0.223108791863034,3614.42190892881,0.0153291623413039,0.0214758960223867,NA
NA,NA,NA,NA,NA,0.112,0.887236568623324,0.93,0.230841763985636,4.02873372626744,NA,NA,0.0255924127673345,4.37629703061658,0.22850368542263,4520.12066400919,0.0154903282539154,0.0362756588739438,NA
NA,NA,NA,NA,NA,0.126,0.890462056270012,0.99,0.246855743299604,4.01043940386858,NA,NA,0.0267177705334248,4.71596235330975,0.212045797884324,5046.23955955382,0.020669977231531,0.0273901258093698,NA
NA,NA,NA,NA,NA,0.134,0.976857285353438,1.12,0.25066912853401,4.46804122450221,NA,NA,0.0292554579386982,4.58034190682584,0.21832431297536,5610.8952917803,0.017716173299205,0.0419072052258337,NA
NA,NA,NA,NA,NA,0.145,0.964227104889459,1.15,0.253527608259929,4.5359951442486,NA,NA,0.0287402778293784,5.04518435280331,0.198208812616403,5574.94559970021,0.0176416086871191,0.0409299725385144,NA
NA,NA,NA,NA,NA,0.11,1.09742286629002,1.14,0.218888190636224,5.20813844130401,NA,NA,0.0273917522948716,4.01580734287652,0.249015929953378,4587.3994630299,0.0152195174783016,0.0190408412773742,NA
NA,NA,NA,NA,NA,0.041,0.725322917277428,0.46,0.178367068148804,2.57895139934824,NA,NA,0.0111847347552242,3.66571053290734,0.272798408664004,1526.3874111028,0.00715357239717973,0.0137450492002326,NA
NA,NA,NA,NA,NA,0.046,0.803859854784914,0.54,0.188930320488798,2.85819660181023,NA,NA,0.0108699961649281,4.23183221981424,0.236304264454959,1571.28680883847,0.00688795830133361,0.0160434753536712,NA
NA,NA,NA,NA,NA,0.055,0.803223050603305,0.59,0.206587523824649,2.85593238680178,NA,NA,0.0138169538106165,3.98061691121381,0.251217342011208,2183.94053139618,0.00995730281964225,0.0198650410302336,NA
NA,NA,NA,NA,NA,0.061,0.840260475378228,0.65,0.217426746284812,2.98951261105913,NA,NA,0.0143201767668995,4.2597239540366,0.23475699617868,2382.24134709281,0.0102461436283634,0.0242426412750073,NA
NA,NA,NA,NA,NA,0.072,0.832908488374121,0.7,0.236218712213914,2.96335541515482,NA,NA,0.0189165530584521,3.80619025979628,0.262729903589613,3418.85524330049,0.0140853887012352,0.0283086716784697,NA
NA,NA,NA,NA,NA,0.087,0.779360456180591,0.72,0.259990045963302,2.76933679261562,NA,NA,0.0238651024628217,3.64549031941233,0.274311522561169,4747.27550591273,0.0168903682800436,0.0452491139031051,NA
NA,NA,NA,NA,NA,0.09,0.744975999616451,0.7,0.260905327657371,2.68296552732439,NA,NA,0.0289355769172099,3.11035789116999,0.321506410191221,5776.16386881385,0.0208999590781337,0.0418875086890973,NA
NA,NA,NA,NA,NA,0.095,0.859769007890191,0.83,0.268402188888243,3.09237418456969,NA,NA,0.032606210820051,2.9135553506751,0.343223271790011,6695.92835153267,0.0217381233468453,0.0961748484922251,NA
NA,NA,NA,NA,NA,0.112,0.820455321522644,0.86,0.295175364825725,2.91352227347209,NA,NA,0.032563783565638,3.43940377119399,0.290748067550339,7354.26678966575,0.0249961112825905,0.0778955404664859,NA
NA,NA,NA,NA,NA,0.051,0.90481623035032,0.64,0.197038209492474,3.24810097314879,NA,NA,0.0214167350878421,2.38131534946014,0.419935982114551,3228.70324015535,0.0094714831022841,0.0251194581180413,NA
NA,NA,NA,NA,NA,0.068,0.893786725164203,0.73,0.228398021007188,3.19617480388337,NA,NA,0.0212908094022467,3.19386636342836,0.313100138268334,3720.56521278836,0.0128201755255157,0.0323391144827529,NA
