"t","W","area","Q","Qs.obs","h","Fr","U","Ustar","UUstar","tau","shields","k","hk","kh","Re","sumks","ks","Qs.pred"
5,0.3,3.25,0.001,0.0615384615384615,0.0106495562177151,0.902182188520916,0.291604692016938,0.0457104247400493,6.3793914336886,2.08944292991571,0.0403392280974059,0.00277877435157596,3.8324652779652,0.26092865230887,97.1835928594433,0.000346287481563588,0.00146707328452226,0.00631257359065697
10,0.3,3.25,0.001,0.0984615384615385,0.0135158031328946,0.686691715725548,0.250044462135184,0.0514956364624609,4.8556436877416,2.65180057467393,0.0511962239882373,0.00400542668671445,3.37437286712176,0.296351363461789,157.813310280097,0.000399489377760227,0.00239072675004131,0.0280245958443511
15,0.3,3.25,0.001,0.147692307692308,0.0138995708338916,0.654288635855044,0.241604253830831,0.0522216027866776,4.62651931266397,2.72709579760954,0.0526498895223168,0.00526328194559131,2.64085621435013,0.378665068762967,210.296112560797,0.00051203226463035,0.00275495888656654,0.0331071891010502
20,0.3,3.25,0.001,0.135384615384615,0.0135231146189774,0.674605888233694,0.245710092702424,0.0515095630756403,4.77018398198419,2.65323508824337,0.051223919011278,0.0054310069027916,2.4899829554675,0.401609174795435,214.038861992029,0.000499660563002819,0.00280834346503562,0.0280685910817117
30,0.3,3.25,0.001,0.104615384615385,0.0110695641881321,0.931668046299448,0.307015969345516,0.0466030953232885,6.58788793353162,2.17184849371151,0.0419301673792881,0.00633281772276593,1.74796823037207,0.572092777559888,225.806356540988,0.000476926543564724,0.0033261342135705,0.00806128019974462
40,0.3,3.25,0.001,0.08,0.013212847138552,0.694697994849306,0.250108674350449,0.0509152296330273,4.91225663034641,2.5923606085839,0.0500486634036061,0.0066807251268713,1.97775643925345,0.50562343277086,260.252986954696,0.000556741045458153,0.00370982595961534,0.0243556989875347
50,0.3,3.25,0.001,0.141538461538462,0.0120832108191468,0.775121802049539,0.266867466489822,0.0486901012806157,5.48093882474766,2.37072596271661,0.0457697379513138,0.00643695625067978,1.87716217861055,0.532719022040059,239.798050332433,0.000489108741072584,0.00335937675666587,0.013869440382226
60,0.3,3.25,0.001,0.141538461538462,0.0138057545732016,0.66152163501368,0.243449356156392,0.0520450674633261,4.67766434019786,2.70868904726216,0.0522945248984911,0.00629665569928483,2.19255351293381,0.456089210183938,250.734407545995,0.00054712493177323,0.00376476904433084,0.03150054893296
75,0.3,3.25,0.001,0.118974358974359,0.0130506776840481,0.718036582783418,0.256919818801154,0.0506018078887528,5.07728536826171,2.56054296161024,0.0494343851668489,0.00641134801511496,2.03555908262673,0.491265524314616,248.221729585909,0.000504034818346829,0.00373068727162592,0.0224217274674406
90,0.3,3.25,0.001,0.0902564102564103,0.0118275026281415,0.782049103648179,0.266388242684489,0.0481721497926069,5.52992224410489,2.32055601564136,0.0448011463187177,0.00628063504653058,1.88316986109151,0.531019543516052,231.485609987887,0.000542656125362246,0.00354444655140928,0.0121568356653257
