"sd.db4","sd.db8","sd.db16","twosd.db4","ran.db4"
0.000759512058514569,0.000598024543846447,0.000563778908790998,0.00123641668577022,0.0116919280382649
0.00097725119387781,0.000889644945285681,0.000862870461103052,0.00160612213500652,0.0100104398593822
0.00107915898262163,0.0009664761363517,0.000998018495210188,0.00179184561915836,0.0109809721071254
0.00112631637239587,0.00104421402291102,0.00108813440876163,0.00187812469655535,0.0107750644517005
0.00120594444132568,0.00108188629117342,0.00108161879090998,0.00202766313383674,0.0115848130409587
0.00103619075626906,0.000940390215782236,0.000928822254103162,0.00167837054618766,0.00914189125208989
0.00138580862114673,0.00120016779702097,0.00114677937407052,0.00233481127898557,0.0146127337654982
0.00105691916297471,0.000897105736606198,0.000856643097042103,0.00189352819986874,0.0100532473954762
0.00123906353931603,0.00107622229312445,0.00105018924367934,0.00215752691106616,0.0114773353914265
0.00127331202147462,0.00107272954476188,0.00102180703813243,0.00225586580908222,0.0121705023449
0.00134287432641837,0.00115114948290346,0.00114529463994419,0.00231208855809572,0.0131702303196152
0.0016029613555321,0.00108535176240348,0.0011246530473129,0.00264674789543599,0.0506118672178042
0.000941443622832059,0.000792590992753304,0.000786751990094047,0.0015766879574754,0.00883141249998362
0.000921935306740255,0.00079449417174225,0.000775475514972899,0.00154734278610871,0.00956546634126513
0.000840226858635759,0.000763746971696712,0.000714598916499364,0.00146078969629997,0.00823405775898367
0.000907271936887219,0.000764046271456613,0.000747963384031979,0.00157071382001261,0.0088632447539822
0.000832914344448693,0.000710646689553118,0.000679514881775551,0.00146105925546847,0.00901200860760755
0.00100320567994727,0.000813990734082689,0.000792961224172117,0.00184133107137947,0.0096552288576074
0.000772291365141345,0.00066080425850925,0.000672316938249874,0.00130291644132692,0.0100556604682012
0.00085742531137459,0.000740153963384356,0.000720781677228902,0.00144410518739297,0.00906949474042778
0.0008715617790269,0.000739077731131371,0.000721149894264441,0.00146673477756994,0.00864770539347993
0.000911393729346408,0.000795986372259842,0.000772941316898354,0.00153773347784191,0.0086994652479859
0.000993940304777617,0.000803248375298321,0.00080380200339573,0.00176611499354041,0.0111267153073272
0.00107208479043287,0.000952890267095045,0.000954620700620218,0.00179977688989218,0.010684557148676
